minute_et,before,after
09:30,0,61
09:31,0,61
09:32,0,61
09:33,0,61
09:34,0,61
09:35,0,61
09:36,0,61
09:37,0,61
09:38,0,61
09:39,0,61
09:40,0,61
09:41,0,61
09:42,0,61
09:43,0,61
09:44,0,61
09:45,0,61
09:46,0,61
09:47,0,61
09:48,0,61
09:49,0,61
09:50,0,61
09:51,0,61
09:52,0,61
09:53,0,61
09:54,0,61
09:55,3,61
09:56,3,61
09:57,3,61
09:58,3,61
09:59,3,61
10:00,5,61
10:01,5,61
10:02,5,61
10:03,5,61
10:04,5,61
10:05,7,61
10:06,7,61
10:07,7,61
10:08,7,61
10:09,7,61
10:10,9,61
10:11,9,61
10:12,9,61
10:13,8,61
10:14,9,61
10:15,14,61
10:16,14,61
10:17,14,61
10:18,14,61
10:19,14,61
10:20,19,61
10:21,19,61
10:22,19,61
10:23,19,61
10:24,19,61
10:25,26,61
10:26,26,61
10:27,26,61
10:28,25,61
10:29,26,61
10:30,30,61
10:31,30,61
10:32,30,61
10:33,30,61
10:34,30,61
10:35,52,61
10:36,52,61
10:37,52,61
10:38,52,61
10:39,52,61
10:40,52,61
10:41,52,61
10:42,52,61
10:43,52,61
10:44,52,61
10:45,52,61
10:46,52,61
10:47,52,61
10:48,52,61
10:49,51,61
10:50,52,61
10:51,52,61
10:52,52,61
10:53,52,61
10:54,52,61
10:55,52,61
10:56,52,61
10:57,52,61
10:58,52,61
10:59,52,61
11:00,52,61
11:01,49,61
11:02,52,61
11:03,52,61
11:04,52,61
11:05,52,61
11:06,52,61
11:07,52,61
11:08,52,61
11:09,52,61
11:10,52,61
11:11,52,61
11:12,52,61
11:13,52,61
11:14,51,61
11:15,51,61
11:16,52,61
11:17,51,61
11:18,52,61
11:19,52,61
11:20,49,61
11:21,52,61
11:22,52,61
11:23,52,61
11:24,52,61
11:25,52,61
11:26,52,61
11:27,52,61
11:28,52,61
11:29,52,61
11:30,52,61
11:31,52,61
11:32,52,61
11:33,52,61
11:34,52,61
11:35,52,61
11:36,52,61
11:37,52,61
11:38,52,61
11:39,52,61
11:40,52,61
11:41,51,61
11:42,52,61
11:43,52,61
11:44,48,61
11:45,52,61
11:46,48,61
11:47,49,61
11:48,48,60
11:49,52,61
11:50,52,61
11:51,52,61
11:52,49,61
11:53,52,61
11:54,52,61
11:55,52,61
11:56,52,61
11:57,52,61
11:58,52,61
11:59,52,61
12:00,52,61
12:01,52,61
12:02,52,61
12:03,52,61
12:04,52,61
12:05,52,61
12:06,51,61
12:07,51,60
12:08,52,61
12:09,52,61
12:10,52,61
12:11,52,61
12:12,51,60
12:13,52,61
12:14,52,61
12:15,52,61
12:16,52,61
12:17,52,61
12:18,52,61
12:19,52,61
12:20,52,61
12:21,52,61
12:22,52,61
12:23,52,61
12:24,52,61
12:25,48,60
12:26,52,61
12:27,52,61
12:28,52,61
12:29,48,61
12:30,52,61
12:31,52,61
12:32,51,61
12:33,51,61
12:34,52,61
12:35,52,61
12:36,52,61
12:37,51,61
12:38,52,61
12:39,52,61
12:40,51,61
12:41,52,61
12:42,52,61
12:43,52,61
12:44,52,61
12:45,52,61
12:46,52,61
12:47,51,60
12:48,51,60
12:49,51,60
12:50,52,61
12:51,52,61
12:52,52,61
12:53,52,61
12:54,51,60
12:55,51,61
12:56,49,61
12:57,52,61
12:58,51,61
12:59,52,61
13:00,52,61
13:01,52,61
13:02,52,61
13:03,49,61
13:04,51,60
13:05,52,61
13:06,48,61
13:07,50,60
13:08,51,61
13:09,52,61
13:10,52,61
13:11,51,61
13:12,51,61
13:13,52,61
13:14,51,61
13:15,52,61
13:16,52,61
13:17,51,60
13:18,48,61
13:19,52,61
13:20,51,61
13:21,52,61
13:22,51,61
13:23,52,61
13:24,52,61
13:25,52,61
13:26,52,61
13:27,52,61
13:28,49,61
13:29,49,61
13:30,49,61
13:31,51,61
13:32,52,61
13:33,52,61
13:34,52,61
13:35,52,61
13:36,51,60
13:37,50,61
13:38,50,60
13:39,51,60
13:40,50,59
13:41,49,61
13:42,51,61
13:43,52,61
13:44,52,61
13:45,52,61
13:46,52,61
